76780.440202 	 0.000000
76776.632215 	 -667.971346
76765.208887 	 -1335.843958
76746.172335 	 -2003.520601
76719.525954 	 -2670.901840
76685.274668 	 -3337.890452
76643.424528 	 -4004.388162
76593.983377 	 -4670.296640
76536.960063 	 -5335.518229
76472.364939 	 -5999.955319
76400.209723 	 -6663.510474
76320.507487 	 -7326.085743
76233.272715 	 -7987.584845
76138.521340 	 -8647.910206
76036.270352 	 -9306.965563
75926.538460 	 -9964.654260
75809.345338 	 -10620.880878
75684.712393 	 -11275.548558
75552.662078 	 -11928.562719
75413.218393 	 -12579.827778
75266.406508 	 -13229.249438
75112.252987 	 -13876.733136
74950.785732 	 -14522.184740
74782.033837 	 -15165.511129
74606.027719 	 -15806.619504
74422.799099 	 -16445.417216
74232.381372 	 -17081.811494
74034.808558 	 -17715.711566
73830.116229 	 -18347.026258
73618.341286 	 -18975.665071
73399.522205 	 -19601.537483
73173.697448 	 -20224.555719
72940.908377 	 -20844.629706
72701.196560 	 -21461.671458
72454.604770 	 -22075.594459
72201.177429 	 -22686.311441
71940.959790 	 -23293.736082
71673.998490 	 -23897.783157
71400.341111 	 -24498.368148
71120.036730 	 -25095.406815
70833.135268 	 -25688.816193
70539.687728 	 -26278.513796
70239.746442 	 -26864.418093
69933.364921 	 -27446.447650
69620.597531 	 -28024.522946
69301.499932 	 -28598.564382
68976.128395 	 -29168.494123
68644.540530 	 -29734.234276
68306.795372 	 -30295.707994
67962.952337 	 -30852.839965
67613.072433 	 -31405.554778
67257.217012 	 -31953.778979
66895.448662 	 -32497.439579
66527.831325 	 -33036.464098
66154.429602 	 -33570.781586
65775.308821 	 -34100.321772
65390.535290 	 -34625.015909
65000.176676 	 -35144.795354
64604.300816 	 -35659.593219
64202.976663 	 -36169.343622
63796.274678 	 -36673.980845
63384.264981 	 -37173.441399
62967.019614 	 -37667.661871
62544.610593 	 -38156.580559
62117.110983 	 -38640.136772
61684.595283 	 -39118.270152
61247.137737 	 -39590.922391
60804.813454 	 -40058.036117
60357.698781 	 -40519.554740
59905.870576 	 -40975.422670
59449.406295 	 -41425.585978
58988.383843 	 -41869.991459
58522.882088 	 -42308.587440
58052.980547 	 -42741.322885
57578.758576 	 -43168.148742
57100.297517 	 -43589.015944
56617.677932 	 -44003.877723
56130.981593 	 -44412.687923
55640.291111 	 -44815.401506
55145.688727 	 -45211.975078
