92881.285448 	 0.000000
92875.873926 	 -854.501933
92859.640665 	 -1708.842311
92832.589653 	 -2562.861545
92794.727662 	 -3416.397059
92746.064121 	 -4269.289502
92686.611077 	 -5121.378076
92616.383282 	 -5972.501982
92535.398260 	 -6822.501753
92443.676057 	 -7671.217513
92341.239446 	 -8518.490345
92228.113889 	 -9364.160745
92104.327315 	 -10208.071367
91969.910616 	 -11050.063682
91824.896923 	 -11889.981018
91669.322333 	 -12727.666384
91503.225043 	 -13562.964865
91326.646481 	 -14395.720016
91139.630120 	 -15225.778389
90942.222271 	 -16052.986011
90734.471571 	 -16877.190717
90516.429303 	 -17698.240428
90288.149391 	 -18515.984110
90049.687820 	 -19330.272489
89801.103325 	 -20140.956919
89542.456939 	 -20947.889934
89273.812565 	 -21750.924009
88995.235881 	 -22549.914673
88706.795044 	 -23344.717905
88408.560837 	 -24135.190819
88100.606594 	 -24921.190951
87783.006597 	 -25702.580278
87455.839228 	 -26479.218222
87119.184095 	 -27250.967653
86773.122646 	 -28017.693903
86417.739439 	 -28779.261787
86053.120606 	 -29535.538559
85679.354611 	 -30286.393168
85296.531702 	 -31031.696194
84904.744680 	 -31771.319407
84504.087966 	 -32505.136895
84094.657964 	 -33233.024195
83676.553094 	 -33954.858810
83249.874152 	 -34670.519025
82814.723116 	 -35379.886470
82371.204337 	 -36082.843568
81919.423339 	 -36779.275520
81459.487890 	 -37469.068774
80991.507668 	 -38152.111604
80515.593716 	 -38828.294876
80031.858822 	 -39497.510770
79540.417249 	 -40159.654373
79041.384732 	 -40814.622516
78534.879289 	 -41462.313446
78021.019732 	 -42102.628253
77499.926474 	 -42735.469804
76971.721233 	 -43360.743835
76436.527452 	 -43978.357317
75894.469573 	 -44588.219912
75345.672986 	 -45190.243954
74790.265536 	 -45784.342752
74228.374805 	 -46370.433425
73660.130700 	 -46948.433966
73085.663397 	 -47518.265713
72505.104397 	 -48079.852006
71918.586857 	 -48633.118053
71326.244186 	 -49177.991906
70728.210294 	 -49714.404251
70124.620885 	 -50242.287618
69515.612524 	 -50761.576801
68901.321840 	 -51272.209577
68281.886792 	 -51774.125645
67657.445607 	 -52267.267453
67028.137770 	 -52751.579555
66394.102156 	 -53227.009476
65755.480046 	 -53693.506242
65112.411536 	 -54151.022290
64465.038069 	 -54599.512008
63813.501747 	 -55038.932082
63157.944163 	 -55469.242041
62498.507538 	 -55890.403803
61835.334814 	 -56302.381548
61168.569116 	 -56705.141831
60498.353123 	 -57098.654054
59824.830581 	 -57482.889484
59148.144521 	 -57857.822420
58468.438016 	 -58223.429478
57785.855451 	 -58579.689147
57100.539268 	 -58926.583114
56412.632754 	 -59264.095130
55722.280262 	 -59592.211048
55029.623324 	 -59910.919899
54334.805649 	 -60220.212316
53637.969474 	 -60520.081748
52939.257846 	 -60810.523750
52238.811589 	 -61091.536624
51536.772416 	 -61363.120756
50833.281938 	 -61625.278824
50128.480222 	 -61878.015962
49422.508212 	 -62121.339446
-10799001.124877 	 -1657890.260525
48007.609223 	 -62579.786464
47298.960032 	 -62794.936128
46589.694538 	 -63000.724344
45879.949960 	 -63197.169749
45169.862357 	 -63384.293121
44459.567441 	 -63562.117398
43749.199674 	 -63730.667775
43038.893261 	 -63889.971482
42328.780475 	 -64040.057884
41618.993299 	 -64180.958372
40909.663459 	 -64312.706553
40200.919911 	 -64435.337816
39492.892438 	 -64548.889830
38785.707794 	 -64653.401933
38079.494280 	 -64748.915745
37374.376591 	 -64835.474670
36670.479362 	 -64913.123816
35967.925863 	 -64981.910526
35266.838474 	 -65041.883680
34567.337033 	 -65093.094112
33869.541514 	 -65135.594378
33173.570828 	 -65169.438865
32479.541042 	 -65194.683643
31787.567842 	 -65211.386452
31097.764912 	 -65219.606584
30410.245588 	 -65219.405121
29725.120848 	 -65210.844698
29042.500319 	 -65193.989498
28362.492063 	 -65168.905112
27685.203023 	 -65135.658720
27010.738824 	 -65094.319070
26339.202828 	 -65044.956226
25670.696648 	 -64987.641441
25005.321148 	 -64922.447542
24343.175484 	 -64849.448831
23684.356277 	 -64768.720400
23028.959557 	 -64680.339106
22377.079439 	 -64584.382771
21728.807554 	 -64480.930104
21084.235103 	 -64370.061697
20443.450787 	 -64251.858517
19806.541454 	 -64126.402830
19173.592435 	 -63993.777871
18544.687680 	 -63854.068069
17919.909895 	 -63707.359200
17299.337647 	 -63553.736395
16683.050552 	 -63393.287464
16071.124500 	 -63226.099934
15463.634812 	 -63052.262707
14860.654397 	 -62871.865182
14262.254582 	 -62684.997450
13668.504440 	 -62491.750288
13079.472225 	 -62292.215546
12495.223101 	 -62086.484930
11915.821732 	 -61874.651528
11341.329929 	 -61656.808314
10771.808295 	 -61433.049274
10207.315363 	 -61203.468378
9647.907989 	 -60968.160530
9093.641007 	 -60727.220526
8544.568029 	 -60480.744243
8000.739787 	 -60228.826802
7462.206423 	 -59971.564600
6929.015507 	 -59709.053949
6401.212844 	 -59441.390973
5878.842896 	 -59168.672662
5361.948175 	 -58890.995881
4850.569296 	 -58608.457505
4344.745348 	 -58321.154795
3844.512801 	 -58029.183986
3349.907847 	 -57732.643032
2860.963992 	 -57431.628819
2377.713172 	 -57126.238233
1900.185282 	 -56816.567782
1428.409364 	 -56502.714888
962.412429 	 -56184.776352
502.219026 	 -55862.847726
47.853431 	 -55537.026281
-400.662629 	 -55207.407822
-843.309049 	 -54874.087891
-1280.067291 	 -54537.161666
-1710.919705 	 -54196.725171
-2135.851248 	 -53852.872483
-2554.847656 	 -53505.698456
-2967.896775 	 -53155.296779
