番号,元信号,観測信号d(n),疑似エコーy(n),誤差,誤差10log10(e^2),,,
86,-1.686625,0.032628,0.471704,-0.439076,-7.149201,,,1303.007
87,0.742643,0.458479,0.544233,-0.085754,-21.334931,,,-629.129
88,-1.26285,0.73248,0.636061,0.096419,-20.316759,,,1355.568
89,-0.34252,-1.620776,-2.056786,0.43601,-7.210063,,,1517.805
90,1.873405,-0.43512,-0.681008,0.245888,-12.18525,,,840.387
91,0.936493,-0.699354,-0.902325,0.202971,-13.851318,,,-1029.301
92,-2.840947,0.972559,1.485527,-0.512968,-5.798192,,,912.332
93,0.395073,-1.33072,-1.472899,0.142179,-16.943297,,,-11.674
94,1.892667,0.514939,0.707537,-0.192598,-14.306958,,,832.865
95,1.607659,1.283274,1.178833,0.104441,-19.622608,,,-325.3
96,0.725562,-0.068815,0.010292,-0.079107,-22.03571,,,-18.828
97,-0.639201,-2.674127,-2.525987,-0.148141,-16.586524,,,108.27
98,-0.407895,1.819833,2.345147,-0.525314,-5.591613,,,1273.123
99,-0.234268,0.950961,0.768949,0.182013,-14.797971,,,-1668.699
100,1.987665,0.618455,0.575993,0.042462,-27.439956,,,1129.678
101,0.046872,-0.146202,-0.562825,0.416623,-7.605132,,,-1349.279
102,0.112285,-0.730424,-0.830942,0.100518,-19.955147,,,-2057.429
103,-0.631746,-0.278136,-0.128459,-0.149677,-16.496906,,,444.142
104,-0.231284,0.40642,0.635078,-0.228658,-12.816279,,,291.259
105,0.081119,1.291884,0.965278,0.326606,-9.71951,,,543.99
106,-0.933648,-0.530018,-0.625309,0.095291,-20.418955,,,307.851
107,0.555859,-0.158329,-0.325249,0.166921,-15.549803,,,202.303
108,1.661744,-0.356139,-0.296174,-0.059964,-24.442141,,,1789.587
109,1.200767,0.121015,0.0726,0.048415,-26.300371,,,1950.863
110,-0.082994,-0.193842,-0.085783,-0.108059,-19.326809,,,-1278.143
111,1.737121,-0.360404,-0.665587,0.305184,-10.308778,,,-1258.608
112,1.135573,0.777891,0.781616,-0.003725,-48.576922,,,-2277.482
113,0.524982,0.956967,0.832689,0.124279,-18.112061,,,914.597
114,-0.038935,0.299152,0.410134,-0.110982,-19.09494,,,407.711
