番号,元信号,観測信号d(n),疑似エコーy(n),誤差,誤差10log10(e^2)
106,1.347351,1.052942,1.420821,-0.367879,-8.685892
107,1.816791,0.830397,0.789486,0.040911,-27.763094
108,1.895471,1.119458,0.85313,0.266328,-11.491673
109,3.607398,0.755635,0.657905,0.09773,-20.199474
110,4.493585,0.113319,0.391661,-0.278343,-11.108405
111,3.405935,0.87715,0.177341,0.69981,-3.100402
112,4.379222,0.899568,1.084443,-0.184875,-14.662446
113,5.043003,1.111887,1.488187,-0.3763,-8.489323
114,3.693698,2.14518,1.668202,0.476978,-6.43003
115,2.279096,2.194863,1.982385,0.212478,-13.453703
116,2.119689,1.04737,2.106632,-1.059263,0.500076
117,2.415947,2.425781,1.77865,0.647131,-3.780155
118,5.045087,2.192688,2.096222,0.096466,-20.312488
119,6.191379,1.010426,1.530557,-0.52013,-5.677758
120,7.789371,0.42445,0.411498,0.012952,-37.753165
121,7.054966,0.95378,0.832795,0.120985,-18.345388
122,5.278515,1.253083,1.814621,-0.561538,-5.01242
123,4.223522,3.160375,2.815963,0.344412,-9.258443
124,5.575258,2.930564,3.234886,-0.304322,-10.333331
125,5.041538,3.90831,2.997813,0.910497,-0.814426
126,5.024356,2.32704,2.693117,-0.366077,-8.72855
127,4.535593,1.571225,2.032334,-0.461109,-6.723926
128,4.171646,1.32735,1.813785,-0.486436,-6.259494
129,3.29821,2.685494,1.976037,0.709457,-2.981475
130,3.980772,1.548803,1.90907,-0.360267,-8.86751
131,3.751957,2.074269,1.478912,0.595356,-4.504463
132,4.342779,1.321393,1.420084,-0.098691,-20.114446
133,2.35309,1.34578,1.39165,-0.04587,-26.769455
134,0.436579,0.781277,1.252777,-0.471499,-6.530379
135,2.009572,1.793037,1.073779,0.719258,-2.862308
136,2.610159,1.17705,1.289981,-0.112931,-18.943735
137,2.087279,1.773571,0.765548,1.008023,0.069412
138,2.128274,-0.357656,0.466676,-0.824332,-1.677954
139,2.571804,-0.590644,-0.178493,-0.412151,-7.698882
140,3.88389,0.965302,0.127723,0.83758,-1.539478
141,3.572864,1.020051,0.83027,0.189781,-14.434927
142,2.643263,0.246069,0.663332,-0.417263,-7.591798
143,2.564441,0.640638,0.660002,-0.019364,-34.260232
144,3.501695,0.900911,1.026145,-0.125233,-18.045596
145,4.074211,1.894327,1.238454,0.655874,-3.663596
146,2.677993,0.870832,1.300144,-0.429312,-7.344536
147,3.219416,0.649886,0.404323,0.245563,-12.196752
148,4.328098,0.741776,1.008778,-0.267002,-11.469712
149,3.50928,1.663931,1.414059,0.249872,-12.045656
150,2.869758,1.285814,1.522798,-0.236985,-12.505597
151,4.211674,0.489985,0.920414,-0.430429,-7.321973
152,4.697772,1.177629,0.80205,0.375579,-8.50598
153,4.834058,1.952687,1.317626,0.635061,-3.943695
154,3.922121,0.679556,1.73886,-1.059304,0.500415
155,4.880484,0.89763,0.841919,0.055711,-25.081171
156,3.927341,1.890714,1.295663,0.595051,-4.508918
157,4.459391,1.956687,1.653369,0.303318,-10.362045
158,2.37515,1.603622,1.965538,-0.361916,-8.82785
159,4.127878,1.212324,1.284275,-0.071951,-22.859249
160,4.320289,1.848677,1.552363,0.296314,-10.56497
161,4.021804,1.114299,1.304945,-0.190646,-14.395467
162,2.854226,1.557279,1.148079,0.409201,-7.761272
163,1.611639,0.137466,1.146717,-1.009251,0.079987
164,2.062438,2.12682,1.248492,0.878329,-1.126859
165,1.355001,1.372893,1.706342,-0.333449,-9.539418
166,1.487198,1.352611,0.956379,0.396232,-8.041013
167,1.396302,0.216715,0.313731,-0.097016,-20.263161
168,1.177179,0.156684,0.074587,0.082097,-21.713426
169,0.055672,0.636724,0.34159,0.295134,-10.599618
170,1.005067,0.096291,0.712022,-0.615731,-4.212179
171,1.742117,0.335106,0.158089,0.177018,-15.039674
172,1.338089,0.218752,0.000558,0.218194,-13.223147
173,1.929044,0.083718,-0.147164,0.230882,-12.732192
174,1.567509,-0.582587,0.144103,-0.72669,-2.77301
175,0.591841,0.503195,0.258424,0.244771,-12.224788
176,0.451073,0.699926,0.559746,0.14018,-17.066286
177,-0.734594,0.101959,0.643791,-0.541832,-5.322709
178,-0.178741,0.853917,0.147577,0.70634,-3.01973
179,-1.02922,0.016328,0.53173,-0.515402,-5.757071
180,-1.380988,-0.262352,-0.271195,0.008843,-41.068062
181,-2.11881,-0.385417,-0.238364,-0.147052,-16.650569
182,-3.282668,-0.872639,-0.677154,-0.195486,-14.177708
183,-2.288381,-0.247375,-0.707309,0.459934,-6.746082
184,-1.286554,-1.086991,-0.772649,-0.314342,-10.051939
185,-2.344678,-1.046012,-1.287045,0.241033,-12.35848
186,-0.724013,-1.512971,-1.692023,0.179051,-14.940449
187,-0.814379,-2.075213,-1.464494,-0.610719,-4.283166
188,0.21244,-0.661071,-1.57959,0.918519,-0.738234
189,0.293723,-0.638101,-0.592768,-0.045333,-26.871695
190,1.27731,-1.427527,-0.891255,-0.536272,-5.412299
191,1.704569,-0.051719,-0.765345,0.713626,-2.930584
192,0.786448,-0.544704,-0.155541,-0.389163,-8.197369
193,-0.640613,0.236331,-0.025537,0.261868,-11.638349
194,-0.596174,-0.020043,0.4116,-0.431643,-7.297515
195,-0.538331,0.801251,0.432647,0.368605,-8.668785
196,0.359365,0.579573,0.360058,0.219515,-13.170715
197,1.237524,-0.191559,-0.05969,-0.131869,-17.597155
198,1.285188,-0.869845,-0.7507,-0.119146,-18.478443
199,1.435629,-0.253785,-0.502193,0.248409,-12.096669
200,2.196556,-0.307113,-0.106743,-0.20037,-13.963339
201,2.742813,0.561306,0.273724,0.287581,-10.824782
202,1.442234,0.769829,0.488451,0.281377,-11.014218
203,0.160082,0.497266,0.666595,-0.169329,-15.425381
204,2.420914,0.664405,0.718062,-0.053657,-25.407545
205,1.79765,1.332135,1.189247,0.142888,-16.900066
206,2.681759,1.136835,0.736624,0.400211,-7.954222
207,2.088884,0.149682,0.505169,-0.355487,-8.983529
208,3.606556,-0.270214,0.126658,-0.396872,-8.026988
209,3.168432,2.041295,0.856114,1.185181,1.475695
210,1.092476,0.327741,1.457704,-1.129963,1.061286
211,-0.782227,1.645362,0.965027,0.680335,-3.345541
212,-0.58565,0.609958,1.292213,-0.682254,-3.321073
213,-0.805395,2.246121,1.37291,0.873211,-1.17762
214,-0.748099,0.809882,1.066738,-0.256856,-11.80621
215,0.676152,-0.129365,-0.120883,-0.008483,-41.429104
216,0.985721,-1.183804,-0.849248,-0.334557,-9.510609
217,1.549488,0.110318,-0.671179,0.781498,-2.141447
218,0.394048,-0.72525,-0.207706,-0.517544,-5.721052
219,0.898506,0.117177,-0.049401,0.166578,-15.567625
220,-0.277854,0.455484,0.42713,0.028354,-30.947743
221,-0.981589,0.695024,0.443348,0.251677,-11.98314
222,-1.517768,0.636248,0.539584,0.096665,-20.294646
223,-0.702736,-0.09879,0.284896,-0.383687,-8.320469
224,-0.673259,0.357615,0.048274,0.309341,-10.191239
225,1.991955,-0.459161,-0.493706,0.034545,-29.232247
226,2.391794,-0.839977,-0.646745,-0.193232,-14.278406
227,1.012332,-0.674404,-0.8378,0.163396,-15.735162
228,0.000386,-0.241534,-0.069054,-0.17248,-15.265202
