番号,誤差,誤差10log10(e^2),白色信号
8039,0.000035,-44.550172,-0.209298
8040,0.000048,-43.189702,-0.680527
8041,0.000596,-32.250195,0.668033
8042,0.000496,-33.045311,0.424051
8043,0.002172,-26.632053,-2.438888
8044,0.000007,-51.588387,-0.216639
8045,0.000770,-31.133777,0.378794
8046,0.002263,-26.452558,-0.606823
8047,0.000003,-55.797730,-0.644436
8048,0.002222,-26.532881,0.239277
8049,0.000681,-31.670419,-0.949672
8050,0.000012,-49.263504,0.717811
8051,0.000356,-34.488769,-0.447179
8052,0.000007,-51.404103,-0.253581
8053,0.000001,-62.615145,0.072701
8054,0.000008,-51.240244,-0.431884
8055,0.000125,-39.035076,1.239014
8056,0.000001,-61.474951,-0.716415
8057,0.000398,-34.003135,-0.920601
8058,0.000074,-41.328893,-0.681951
8059,0.000013,-48.735291,-0.672315
8060,0.004964,-23.041994,-2.460174
8061,0.001974,-27.047599,0.653781
8062,0.000124,-39.074187,0.001410
8063,0.000205,-36.874817,0.716997
8064,0.000694,-31.586721,0.629920
8065,0.002139,-26.698856,0.271554
8066,0.002357,-26.276910,-0.769581
8067,0.000006,-52.322860,-1.032386
8068,0.000999,-30.002788,-0.348870
8069,0.000616,-32.105724,-1.310624
8070,0.000037,-44.341763,-0.372757
8071,0.000016,-47.846368,-0.750065
8072,0.000632,-31.990972,0.607650
8073,0.000163,-37.871743,-0.250889
8074,0.000302,-35.202296,-0.750592
8075,0.000452,-33.452353,-0.719064
8076,0.000023,-46.471265,-1.350313
8077,0.000132,-38.798278,0.791354
8078,0.000905,-30.432263,0.614242
8079,0.002557,-25.922963,2.924804
8080,0.000089,-40.510583,-0.862344
8081,0.000360,-34.435287,-0.360416
8082,0.001858,-27.308925,-1.188331
8083,0.000064,-41.965471,0.369685
8084,0.003339,-24.764129,-0.049048
8085,0.002138,-26.699107,-0.355513
8086,0.001291,-28.890502,-0.617620
8087,0.000036,-44.385229,-1.299292
8088,0.000183,-37.366681,1.071839
8089,0.000809,-30.919864,0.708326
8090,0.000399,-33.995182,-0.783051
8091,0.002086,-26.806366,1.106119
8092,0.000498,-33.031940,0.116931
8093,0.005443,-22.641422,-2.342574
8094,0.000140,-38.527593,0.842231
8095,0.000191,-37.200242,-0.556658
8096,0.004533,-23.435801,-0.763141
8097,0.000203,-36.929451,-0.456712
8098,0.001448,-28.392853,-0.595469
8099,0.002434,-26.136411,-0.770519
8100,0.000007,-51.390762,-0.148361
8101,0.000131,-38.826584,-1.628283
8102,0.000426,-33.703644,-0.905201
8103,0.000295,-35.301720,0.371641
8104,0.000227,-36.443080,-0.872788
8105,0.000002,-56.880582,-0.756621
